,ID,sex,d15N,d13C
Lesper,IOI1,M,5.356808867,-19.89713186
Lesper,IOI2,F,4.842702758,-21.88808748
Lesper,IOI3,M,6.334683348,-18.54841776
Lesper,IOI4,F,5.006907182,-20.24254544
Lesper,IOI5,NA,6.030972875,-19.34188442
Lesper,IOI6,M,5.104748687,-20.90927928
Lesper,IOI7,F,5.897488499,-20.93640166
Lesper,IOI8,F,5.403785985,-21.27706457
Psccur,IOI9,M,7.118897038,-14.61643275
Neofur,IRA3,F,6.432266746,-18.44371967
Neofur,IRA4,M,6.510769873,-20.27458515
Neofur,IRA5,M,6.568170674,-20.06255329
Neofur,IRA6,F,6.603344623,-17.56814542
Neofur,IRA7,M,6.808433712,-19.48324717
Simple,IRA8,F,4.94092692,-16.25912238
Petfam,IRA9,M,4.482860728,-12.10516966
Petfam,IRB1,M,4.561931154,-12.20084836
Julreg,IRB3,NA,6.459303749,-18.51687147
Julreg,IRB4,NA,6.246175477,-20.21515486
Julreg,IRB5,NA,6.631151556,-18.09204593
Julreg,IRB6,NA,6.201490421,-14.90517635
Julreg,IRB7,NA,6.854179433,-19.71188431
Telvit,IRB9,NA,6.265828864,-16.68525293
Telvit,IRC1,NA,5.784193602,-16.94913269
Telvit,IRC2,NA,6.951884891,-17.1086879
Juldic,IRC6,M,6.446123889,-17.88145327
Juldic,IRC7,M,6.873885568,-19.52747712
Juldic,IRC8,NA,6.919300594,-21.21456458
Juldic,IRC9,M,7.125177938,-19.1010096
Juldic,IRD1,M,6.915243705,-17.67090196
Lamsig,IWF4,M,5.928737766,-20.02160886
Lamsig,IWF5,M,5.699188534,-20.57086629
Lamsig,IWF6,M,5.718502728,-20.97440236
Lamsig,IWF7,M,5.94870119,-21.12623791
Lamsig,IWF8,M,5.808103143,-21.2464835
Lamsig,IWF9,M,5.70468001,-19.98745664
Lamsig,IWG2,F,6.024018018,-19.79521525
Lamsig,IWG3,F,5.987979861,-21.59970752
Gnapfe,IWG8,NA,6.145170755,-19.33325563
Gnapfe,IWG9,NA,6.168105768,-18.90982067
Gnapfe,IWH1,NA,5.964682178,-20.59333261
Psccur,IWH2,F,5.142260559,-10.97469458
Psccur,IWH3,F,7.186907893,-12.3120122
Simple,IWH4,M,5.596284451,-15.70949608
Simple,IWH5,F,7.068774474,-16.32321456
Pettre,IWH6,NA,4.852669693,-12.94208834
Pettre,IWH7,NA,4.910976356,-13.05092821
Pettre,IWH8,NA,4.406966977,-13.41230968
Pettre,IWH9,NA,4.549940345,-14.77713132
Pettre,IWI1,NA,4.394332936,-14.96814059
Gwcsta,ITB5,NA,7.110022819,-19.76945109
Gwcsta,ITB6,NA,8.223579864,-19.66005327
Gwcsta,ITB7,NA,8.181602463,-19.81787972
Gwcsta,ITB8,NA,8.595076676,-19.71155345
Gwcabe,ITB9,NA,8.824081491,-19.92571895
Batgra,ITC1,M,9.157060144,-20.0581634
Cyplep,ITC3,F,6.353563434,-22.68239848
Cyplep,ITC4,F,6.611554108,-22.57444327
Cyplep,ITC5,M,6.429937682,-22.31907181
Cyplep,ITC6,M,6.524469282,-22.37774172
Cyplep,ITC7,M,6.39505446,-22.38764477
Batgra,ITD5,NA,9.008806291,-20.07859663
Batgra,ITD6,NA,8.851971562,-20.13472968
Pcybri,ITD8,F,6.827478693,-21.95795802
Pcybri,ITD9,NA,6.349627841,-22.34751335
Pcybri,ITE1,M,6.853065338,-21.90586495
Pcybri,ITE2,M,6.442717729,-22.13318695
Pcybri,ITE3,F,6.404690154,-22.39565431
Batleo,ITE4,NA,8.726741632,-20.0236268
Cyplep,ITE6,F,6.289507705,-22.57685935
Cyplep,ITE7,F,6.445794051,-22.65548311
Cyplep,ITE8,M,6.36561572,-22.47679397
Cyplep,ITE9,M,6.92803538,-22.11078575
Cyplep,ITF1,NA,6.395662815,-22.33985823
Batleo,ITF2,NA,8.901600031,-20.10614687
Batvit,ITF3,M,8.471680524,-20.22264317
Batvit,ITF8,NA,8.690256203,-20.58139344
Xenbou,ITF9,M,6.344110667,-15.29054045
Petpol,ITG1,NA,4.126300355,-10.12554627
Hapmic,ITG3,M,5.831610756,-20.61892451
Hapmic,ITG4,M,5.79918726,-20.4539372
Hapmic,ITG5,M,5.672152472,-20.87967753
Hapmic,ITG6,M,5.681557125,-21.3208014
Boumic,ITH6,NA,6.697388252,-20.93207771
Boumic,ITH7,NA,6.512545606,-20.50550325
Batfas,ITH8,NA,7.281700768,-20.02718687
Trenig,ITI2,M,7.707065837,-20.41920209
Batgra,IUH5,M,8.160509603,-18.91310827
Batgra,IUH6,M,8.636759103,-19.81873692
Regcal,IUI3,M,6.972030167,-19.33627576
Hemste,IXC5,M,6.369107073,-21.20872672
Hemste,IXC6,M,6.65985896,-21.31601101
Hemste,IXC7,M,6.682149132,-21.12536066
Hemste,IXC8,M,6.396988747,-21.12827643
Gnaper,IXD5,NA,7.070911761,-19.53160423
Gnaper,IXD6,NA,7.501411918,-19.24409195
Gnaper,IXD7,NA,6.587404846,-18.64817747
