spp	dS	+-SE
Sarcar	0.0777	0.0199
Sermac	0.0955	0.0226
Simdia	0.0935	0.0220
Spaery	0.0881	0.0213
Spamar	0.0881	0.0213
Tanirs	0.0849	0.0205
Tchdha	0.0861	0.0208
Telbif	0.0766	0.0196
Telbra	0.0736	0.0194
Telbri	0.0742	0.0196
TeldhN	0.0798	0.0199
TeldhS	0.0788	0.0202
TeldhT	0.0835	0.0208
Tellon	0.0757	0.0194
Telluf	0.0957	0.0221
Telshe	0.0695	0.0190
TelteS	0.0771	0.0197
Telvit	0.0748	0.0198
Thobra	0.0793	0.0197
Trecap	0.0737	0.0195
Tremac	0.0778	0.0199
Tremar	0.0830	0.0206
Trenig	0.0774	0.0198
Tresti	0.0786	0.0202
Treuni	0.0809	0.0202
Trezeb	0.0791	0.0203
Trioto	0.0733	0.0187
Troann	0.0811	0.0196
Trobri	0.0801	0.0193
TrobrK	0.0801	0.0193
Trodub	0.0770	0.0191
Trokir	0.0801	0.0193
Troluk	0.0799	0.0193
Trolun	0.0815	0.0197
Tromoo	0.0812	0.0196
Tromor	0.0837	0.0202
Trompi	0.0813	0.0196
Tronig	0.0801	0.0193
Tropol	0.0817	0.0197
Trored	0.0813	0.0196
Varmoo	0.0815	0.0203
Xchhec	0.0759	0.0194
Xenbat	0.0736	0.0188
Xenbou	0.0807	0.0201
Xencau	0.0686	0.0181
Xenfla	0.0722	0.0185
Xenkil	0.0767	0.0191
Xenlon	0.0812	0.0197
Xennas	0.0778	0.0193
XenniS	0.0682	0.0180
Xenoch	0.0810	0.0196
Xenorn	0.0770	0.0191
XenpaK	0.0820	0.0198
Xenpap	0.0820	0.0198
Xensim	0.0808	0.0201
Xensin	0.0809	0.0196
Xenspi	0.0752	0.0193
XenspN	0.0756	0.0194
Xensun	0.0776	0.0192
