spp	Tribe	id	Pair_bonding	Sex_caregiver	sex	OT	VT	OTRa	OTRb	VTR1Aa	VTR1Ab	VTR2Aa	VTR2Ab	VTR2Ba	VTR2Bb	d15N	d13C
Batgra	Bathybatini	LNB2_MAI8	NA	0	M	8.96752572029107	7.55094759455694	3.27571436100066	0.466045592185812	1.46250783478429	1.23586917820919	4.44496384352386	1.59687838731721	4.44974029731921	0	1.75229801569336	-0.491195176014366
Batgra	Bathybatini	ILG7_DWD3	NA	0	M	7.04800071693296	4.62705054627525	3.24543374912515	0	1.40690396375338	1.28342518646545	4.93547247741126	1.53840009532923	3.48347529329872	1.40487097714676	1.75229801569336	-0.491195176014366
Batgra	Bathybatini	LNB4_MBC2	NA	0	F	7.03120218584795	7.40896570276024	3.44921495416098	0.521712415208037	3.17382589984553	1.73228700240039	5.15361242350778	2.16032582509718	3.46982477762365	1.22303386581187	1.75229801569336	-0.491195176014366
Batgra	Bathybatini	IUI8_HQD6	NA	0	F	7.27906729189981	7.4051567837103	2.26365463136244	0.696036113733238	1.68736398084976	1.90866536493678	4.19990080253279	0.792176855534941	2.91087385493375	2.60035492329453	1.75229801569336	-0.491195176014366
Batgra	Bathybatini	LNB6_MBE4	NA	0	F	7.54571204563326	7.22943699325665	2.87763020383341	0.427775853773695	1.64115339614843	1.15491821342862	4.29504412235301	1.78400931966146	3.04609305056549	1.63893572033077	1.75229801569336	-0.491195176014366
Benhor	Benthochromini	ILG1_DWA9	0	0	M	5.77356782956817	4.60108377575717	3.35769021522002	2.6508412863988	1.88815562973429	2.50885252454745	4.16190057791739	1.73839690302267	0	1.88577347768621	0.221029839885122	-0.754165349079903
Benhor	Benthochromini	RLB1_QVG6	0	0	F	8.10910664446615	6.05839746089768	3.2985564142978	1.76661636208843	2.62358246093545	1.74337665916339	4.4060393145522	1.9123605305059	1.33112446789129	1.97947444762784	0.221029839885122	-0.754165349079903
Benhor	Benthochromini	LPE9_NDH7	0	0	M	7.12614896703092	5.96718198284025	2.57211719548307	2.09403401081731	2.9714170050779	1.0400753148571	3.91051202012508	1.75165181199951	1.80758573479962	2.21455475146246	0.221029839885122	-0.754165349079903
Benhor	Benthochromini	RLB2_QVH7	0	0	F	7.74564474719026	6.52822122907353	3.28067605942715	2.65095843695128	2.50495770209923	1.28908548551469	4.15919724905101	1.17524545610791	2.61504074274134	2.03931529748891	0.221029839885122	-0.754165349079903
Benhor	Benthochromini	LPE8_NDG6	0	0	M	3.21377590458192	2.60435627525378	3.33489072944925	2.75811211293514	3.29996699689951	1.24243361003089	4.46888694173446	2.52661172388438	1.38778602217488	2.51317766448191	0.221029839885122	-0.754165349079903
Benhor	Benthochromini	RLA9_QVF5	0	0	F	8.15508232584258	6.61052954690405	2.90662299895237	2.78095801130573	2.26172697232806	1.24686286735672	4.79660709789785	1.54350182246689	2.6325499789015	3.38786954580855	0.221029839885122	-0.754165349079903
Boumic	Boulengerochromini	MPG4_QKB1	1	1	F	10.4935202488338	8.45780562148332	2.65286068664326	1.27541773981656	2.26786774453063	1.53279619863184	2.53426608596567	1.17463651547187	1.31850137879261	0	0.85478025551468	-0.723683362955067
Boumic	Boulengerochromini	MOF1_NUC2	1	1	M	10.5561276089299	9.96101913690243	2.84113442187976	1.26768500367181	2.25741831812483	1.52417202432635	2.3272639773962	1.1672988312727	1.98583629141643	1.05515677454486	0.85478025551468	-0.723683362955067
